"","folio","factor_b2","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"259",351000,506,"1","0","0","1","1","0","0","1","0","1","1","1","0","1"
"260",352000,9890,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"261",354000,9890,"1","0","0","0","0","0","0","0","0","0","0","1","0","1"
"262",355000,9890,"1","0","0","0","0","0","0","0","0","0","0","1","0","1"
"263",356000,9890,"1","0","0","0","0","0","0","0","0","0","0","1","0","1"
"264",357000,9890,"1","0","0","1","0","0","0","1","0","0","1","1","0","1"
"265",358000,9890,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"266",359000,9890,"0","0","0","1","0","0","0","0","0","0","1","0","0","1"
"267",360000,9890,"0","0","0","0","1","1","0","0","0","0","1","1","0","1"
"268",361000,9890,"1","0","0","1","0","1","0","0","0","0","1","0","0","1"
"269",362000,9890,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"270",364000,9890,"0","0","0","1","1","0","0","1","1","0","1","0","0","2"
"271",365000,9890,"1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"272",366000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"273",367000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"274",368000,9890,"0","0","0","0","1","0","0","0","0","0","1","0","0","1"
"275",370000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","1","2"
"276",371000,9890,"1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"277",372000,9890,"0","0","0","1","0","0","0","0","0","0","1","0","0","1"
"278",373000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","2"
"279",375000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"280",377000,9890,"0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"281",379000,9890,"1","0","0","0","1","0","0","0","0","0","1","0","0","1"
"282",380000,9890,"1","0","0","0","1","0","0","0","0","0","1","1","0","1"
"283",381000,9890,"1","0","0","0","1","0","0","0","0","0","1","1","0","1"
"284",383000,9890,"0","0","0","0","0","0","0","0","0","0","1","1","0","2"
"285",384000,9890,"1","0","0","1","1","1","0","0","0","0","1","1","0","1"
"286",385000,9890,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"287",386000,9890,"0","0","0","1","1","0","0","0","0","0","1","0","0","1"
"288",388000,9890,"0","0","0","0","0","0","0","0","0","0","1","1","0","2"
"289",389000,9890,"1","0","0","0","0","0","0","0","0","0","1","1","0","2"
"290",390000,9890,"1","0","0","0","1","0","0","0","0","0","1","1","0","1"
"291",391000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"292",392000,9890,"0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"293",393000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"294",394000,9890,"0","0","0","1","0","0","0","0","0","0","1","0","0","2"
"295",395000,9890,"0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"296",396000,9890,"1","0","0","1","1","1","0","0","0","0","1","1","1","1"
"297",397000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"298",401000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"299",402000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"300",404000,9890,"1","0","0","1","0","1","0","0","0","1","1","0","0","1"
"301",405000,9890,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"302",405100,9890,"0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"303",406000,1351,"0","0","0","1","1","0","0","1","0","1","1","1","1","3"
"304",407000,1351,"0","0","0","1","0","0","0","1","0","1","1","1","0","3"
"305",409000,1351,"0","0","0","1","0","0","0","0","0","1","1","1","0","1"
"306",411000,1351,"0","0","0","1","0","0","0","0","0","1","1","1","0","1"
"307",414000,1351,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"308",415000,1351,"0","0",NA,"1","1","1",NA,"0","0","0","1","1","0","1"
"309",416000,1351,"0","0","0","1","0","1","0","1","0","1","1","1","0","1"
"310",417000,1351,"0","0","0","1","0","0","0","0","0","1","1","1","0","2"
"311",418000,1351,"0","0","0","0","0","1","0","1","0","1","1","1","0","1"
"312",419000,1351,"0","0","0","1","0","1","0","1","0","1","1","1","0","2"
"313",420000,1351,"0","0","0","1","1","0","0","0","0","0","1","1","0","1"
"314",420100,1351,"1","0","0","1","0","0","0","0","0","0","0","1","0","1"
"315",421000,1351,"1","0",NA,"1","1","1",NA,"0","0","1","1","1","0","2"
"316",422000,1351,"0","0","0","0","1","0","0","1","0","1","1","1","0","1"
"317",423000,1351,"1","0","0","1","1","1","0","0","0","0","1","1","1","1"
"318",424000,1351,"1","1","0","1","1","0","0","0","0","0","1","1","0","2"
"319",426000,1351,"0","0","0","1","0","0","0","0","0","0","1","1","0","1"
"320",428000,1351,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"321",429000,1351,"0","0","0","1","0","1","0","0","0","0","1","1","0","1"
"322",430000,1351,"1","0","0","0","1","0","0","0","0","0","1","1","0","1"
"323",431000,1351,"0","0","0","1","1","1","0","1","1","1","1","1","0","3"
"324",432000,1351,"1","0","0","1","0","0","0","0","0","1","1","1","1","1"
"325",433000,1351,"1","0","0","1","0","0","0","1","1","1","1","1","1","2"
"326",434000,1351,"1","0","0","1","1","1","0","1","1","1","1","1","1","1"
"327",435000,1351,"1","0","1","1","0","1","0","1","0","1","1","1","1","1"
"328",436000,1351,"0","1","0","1","0","1","0","0","0","1","1","0","1","1"
"329",437000,1351,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"330",439000,1351,"0","0","0","1","1","1","0","1","1","1","1","1","0","2"
"331",440000,1351,"1","0","0","1","1","1","0","1","1","1","1","1","0","3"
"332",441000,1351,"1","0","0","1","1","1","0","1","0","1","1","1","1","1"
"333",443000,1351,"1","1","0","1","1","1","0","0","0","0","1","1","0","1"
"334",444000,1351,"0","0","0","1","1","0","0","0","0","0","1","1","0","2"
"335",445000,1351,"0","0","0","1","0","1","0","0","0","1","1","1","0","1"
"336",446000,1351,"0","0","0","1","0","1","0","0","0","0","1","1","0","2"
"337",447000,1351,"1","0","0","1","1","1","0","1","1","1","1","1","0","1"
"338",450000,1452,"0","0","0","0","0","0","0","1","0","1","1","1","0","1"
"339",451000,1452,"0","0","1","1","1","1","0","1","1","1","1","1","0","3"
"340",452000,1452,"1","0","1","1","1","1","0","1","1","1","1","1","0","1"
"341",454000,1452,"1","0","0","1","1","1","0","1","1","1","1","1","0","1"
"342",455000,1452,"1","0","0","1","0","1","0","1","1","1","1","1","0","2"
"343",456000,1452,"1","0","1","1","1","0","0","1","0","1","1","1","0","1"
"344",457000,1452,"0","0","0","1","1","0","0","1","0","0","1","1","0","1"
"345",458000,1452,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"346",459000,1452,"1","0","0","1","1","1","0","1","1","1","1","1","0","2"
"347",460000,1452,"1","0","0","1","0","0","0","1","1","1","1","1","0","3"
"348",461000,1452,"1","0","0","1","1","0","0","1","1","1","1","1","1","1"
"349",463000,1452,"1","1","0","1","1","1","0","1","1","1","0","1","0","1"
"350",464000,1452,"1","0","1","1","1","0","0","0","0","1","1","1","0","1"
