"","folio","foliow1","fac_2l","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"219","00280000","00280000",7770,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"220","00281000","00281000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"221","00282000","00282000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"222","00288000","00288000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"223","00289000","00289000",7770,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"224","00290000","00290000",7770,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"225","00291000","00291000",7770,"0","0","0","1","1","1","0","1","0","1","1","1","1","2"
"226","00292000","00292000",7770,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"227","00293000","00293000",7770,"0","0","0","1","1","1","0","0","0","0","1","1","1","1"
"228","00294000","00294000",7770,"0","0","0","1","0","0","0","1","0","1","1","1","1","1"
"229","00295000","00295000",7770,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"230","00296000","00296000",7770,"0","0","0","1","1","1","0","1","0","1","1","1","0","2"
"231","00297000","00297000",7770,"1","0","1","1","1","1","1","1","1","1","1","1","1","3"
"232","00298000","00298000",520,"0","1","0","1","1","0","0","1","1","1","1","1","0","2"
"233","00298002","00298000",520,"0","0","0","1","0","1","0","0","0","0","1","1","0","2"
"234","00298003","00298000",520,"0","0","0","0","0","0","0","0","1","1","1","1","0","2"
"235","00301000","00301000",520,"0","0","0","0","0","1","0","1","1","0","1","1","0","2"
"236","00303000","00303000",520,"0","0","0","1","0","0","0","0","0","0","1","1","0","1"
"237","00304000","00304000",520,"0","0","0","0","0","1","0","1","0","1","1","1","0","1"
"238","00305000","00305000",520,"0","0","0","1","1","0","0","1","1","1","1","1","0","1"
"239","00308000","00308000",520,"1","0","0","0","0","0","0","1","0","1","1","1","0","1"
"240","00309000","00309000",520,"0","0","0","1","0","0","0","0","1","0","1","1","0","1"
"241","00312000","00312000",520,"0","0","0","0","0","0","0","1","0","1","1","1","0","1"
"242","00313000","00313000",520,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"243","00316000","00316000",520,"0","0","0","1","1","1","0","1","1","0","1","1","0","1"
"244","00317000","00317000",520,"0","0","0","1","0","0","0","1","0","0","1","1","0","1"
